Routes Data:
           route_id  agency_id route_short_name route_long_name  route_type
10      10-A11-j25-1   TA+aww20      17.TA.10-A11-j25-1.6.H     10-A11-j25-1.6.H                       Dornbirn Bahnhof         RJX 760             0       NaN
11      10-A11-j25-1   TA+bqw20       2.TA.10-A11-j25-1.1.R     10-A11-j25-1.1.R                        Budapest-Keleti         RJX 165             1     431.0
12      10-A11-j25-1   TA+11y20       3.TA.10-A11-j25-1.1.R     10-A11-j25-1.1.R                        Budapest-Keleti         RJX 165             1     432.0
13      10-A11-j25-1   TA+17y20       4.TA.10-A11-j25-1.2.R     10-A11-j25-1.2.R                 Flughafen Wien Bahnhof         RJX 567             1       NaN
14      10-A11-j25-1   TA+61y20       5.TA.10-A11-j25-1.2.R     10-A11-j25-1.2.R                 Flughafen Wien Bahnhof         RJX 567             1       NaN
15      10-A11-j25-1   TA+07y20       6.TA.10-A11-j25-1.2.R     10-A11-j25-1.2.R                 Flughafen Wien Bahnhof         RJX 565             1       NaN
16      10-A11-j25-1   TA+11y20       7.TA.10-A11-j25-1.2.R     10-A11-j25-1.2.R                 Flughafen Wien Bahnhof         RJX 565             1       NaN
17      10-A12-j25-1   TA+h8x20      10.TA.10-A12-j25-1.4.R     10-A12-j25-1.4.R                      Wien Hauptbahnhof         RJ 1252             1       NaN
18      10-A12-j25-1         TA      11.TA.10-A12-j25-1.5.R     10-A12-j25-1.5.R                      Wien Hauptbahnhof          RJ 850             1       NaN
19      10-A12-j25-1         TA      12.TA.10-A12-j25-1.6.R     10-A12-j25-1.6.R                 Flughafen Wien Bahnhof          RJ 754             1       NaN
20      10-A12-j25-1         TA      13.TA.10-A12-j25-1.6.R     10-A12-j25-1.6.R                 Flughafen Wien Bahnhof          RJ 750             1       NaN
21      10-A12-j25-1         TA      14.TA.10-A12-j25-1.6.R     10-A12-j25-1.6.R                 Flughafen Wien Bahnhof          RJ 554             1       NaN
22      10-A12-j25-1         TA      15.TA.10-A12-j25-1.7.R     10-A12-j25-1.7.R                 Flughafen Wien Bahnhof          RJ 558             1       NaN
23      10-A12-j25-1         TA      16.TA.10-A12-j25-1.7.R     10-A12-j25-1.7.R                 Flughafen Wien Bahnhof          RJ 656             1       NaN
24      10-A12-j25-1         TA      17.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží           RJ 74             1       NaN
25      10-A12-j25-1   TA+6ky20      18.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 256             1       NaN
26      10-A12-j25-1   TA+5dx20      19.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 256             1       NaN
27      10-A12-j25-1   TA+vrw20       2.TA.10-A12-j25-1.2.R     10-A12-j25-1.2.R                 Flughafen Wien Bahnhof          RJ 821             1       NaN
28      10-A12-j25-1   TA+n4x20      20.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 256             1       NaN
29      10-A12-j25-1         TA      21.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží           RJ 78             1       NaN
30      10-A12-j25-1         TA      22.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží           RJ 72             1       NaN
31      10-A12-j25-1   TA+hsy20      23.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 256             1       NaN
32      10-A12-j25-1   TA+jfy20      24.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 256             1       NaN
33      10-A12-j25-1   TA+alx20      25.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 256             1       NaN
34      10-A12-j25-1   TA+kfy20      26.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 256             1       NaN
35      10-A12-j25-1         TA      27.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 372             1       NaN
36      10-A12-j25-1   TA+ckx20      28.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 256             1       NaN
37      10-A12-j25-1   TA+3mx20      29.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 256             1       NaN
38      10-A12-j25-1         TA       3.TA.10-A12-j25-1.2.R     10-A12-j25-1.2.R                 Flughafen Wien Bahnhof         RJ 1021             1       NaN
39      10-A12-j25-1         TA      30.TA.10-A12-j25-1.8.R     10-A12-j25-1.8.R                   Praha hlavní nádraží          RJ 370             1       NaN
40      10-A12-j25-1         TA      31.TA.10-A12-j25-1.9.R     10-A12-j25-1.9.R                    Brno hlavní nádraží          RJ 374             1       NaN
41      10-A12-j25-1         TA     32.TA.10-A12-j25-1.10.H                  NaN           Ljubljana železniška postaja           D 157             0     433.0
42      10-A12-j25-1   TA+h8x20     33.TA.10-A12-j25-1.11.H    10-A12-j25-1.11.H                      Graz Hauptbahnhof         RJ 1255             0       NaN
43      10-A12-j25-1         TA     34.TA.10-A12-j25-1.12.H    10-A12-j25-1.12.H                      Graz Hauptbahnhof          RJ 653             0       NaN
44      10-A12-j25-1         TA     35.TA.10-A12-j25-1.12.H    10-A12-j25-1.12.H                      Graz Hauptbahnhof          RJ 657             0       NaN
45      10-A12-j25-1         TA     36.TA.10-A12-j25-1.12.H    10-A12-j25-1.12.H                      Graz Hauptbahnhof          RJ 553             0       NaN
46      10-A12-j25-1         TA     37.TA.10-A12-j25-1.12.H    10-A12-j25-1.12.H                      Graz Hauptbahnhof          RJ 559             0       NaN
47      10-A12-j25-1         TA     38.TA.10-A12-j25-1.12.H    10-A12-j25-1.12.H                      Graz Hauptbahnhof          RJ 755             0       NaN
48      10-A12-j25-1   TA+elx20     39.TA.10-A12-j25-1.13.H    10-A12-j25-1.13.H                      Graz Hauptbahnhof          RJ 853             0       NaN
49      10-A12-j25-1         TA       4.TA.10-A12-j25-1.2.R     10-A12-j25-1.2.R                 Flughafen Wien Bahnhof         RJ 1023             1       NaN
50      10-A12-j25-1         TA     40.TA.10-A12-j25-1.14.H    10-A12-j25-1.14.H                      Graz Hauptbahnhof           RJ 73             0       NaN
51      10-A12-j25-1         TA     41.TA.10-A12-j25-1.14.H    10-A12-j25-1.14.H                      Graz Hauptbahnhof          RJ 373             0       NaN
52      10-A12-j25-1   TA+0sw20     42.TA.10-A12-j25-1.14.H    10-A12-j25-1.14.H                      Graz Hauptbahnhof           RJ 71             0       NaN
53      10-A12-j25-1   TA+1sw20     43.TA.10-A12-j25-1.14.H    10-A12-j25-1.14.H                      Graz Hauptbahnhof           RJ 71             0       NaN
54      10-A12-j25-1         TA     44.TA.10-A12-j25-1.15.H    10-A12-j25-1.15.H                      Graz Hauptbahnhof           RJ 75             0       NaN
55      10-A12-j25-1   TA+nfy20     45.TA.10-A12-j25-1.15.H    10-A12-j25-1.15.H                      Graz Hauptbahnhof          RJ 257             0       NaN
56      10-A12-j25-1         TA     46.TA.10-A12-j25-1.15.H    10-A12-j25-1.15.H                      Graz Hauptbahnhof          RJ 371             0       NaN
57      10-A12-j25-1   TA+1ly20     47.TA.10-A12-j25-1.15.H    10-A12-j25-1.15.H                      Graz Hauptbahnhof          RJ 257             0       NaN
58      10-A12-j25-1   TA+2ly20     48.TA.10-A12-j25-1.15.H    10-A12-j25-1.15.H                      Graz Hauptbahnhof          RJ 257             0       NaN
59      10-A12-j25-1   TA+0ly20     49.TA.10-A12-j25-1.15.H    10-A12-j25-1.15.H                      Graz Hauptbahnhof          RJ 257             0       NaN
60      10-A12-j25-1         TA       5.TA.10-A12-j25-1.2.R     10-A12-j25-1.2.R                 Flughafen Wien Bahnhof         RJ 1025             1       NaN
61      10-A12-j25-1         TA     50.TA.10-A12-j25-1.15.H    10-A12-j25-1.15.H                      Graz Hauptbahnhof           RJ 79             0       NaN
62      10-A12-j25-1         TA       6.TA.10-A12-j25-1.2.R     10-A12-j25-1.2.R                 Flughafen Wien Bahnhof         RJ 1029             1       NaN
63      10-A12-j25-1   TA+72x20       7.TA.10-A12-j25-1.2.R     10-A12-j25-1.2.R                 Flughafen Wien Bahnhof         RJX 567             1       NaN
64      10-A12-j25-1         TA       8.TA.10-A12-j25-1.3.R     10-A12-j25-1.3.R                   Praha hlavní nádraží           RJ 70             1       NaN
65      10-A12-j25-1   TA+fqw20       9.TA.10-A12-j25-1.4.R     10-A12-j25-1.4.R                      Wien Hauptbahnhof           D 852             1       NaN
66      10-A13-j25-1         TA       1.TA.10-A13-j25-1.1.R     10-A13-j25-1.1.R                 Flughafen Wien Bahnhof          RJ 823             1       NaN
67      10-A13-j25-1         TA      10.TA.10-A13-j25-1.4.R     10-A13-j25-1.4.R                 Flughafen Wien Bahnhof          RJ 541             1       NaN
68      10-A13-j25-1         TA      11.TA.10-A13-j25-1.4.R     10-A13-j25-1.4.R                 Flughafen Wien Bahnhof          RJ 547             1       NaN
69      10-A13-j25-1         TA      12.TA.10-A13-j25-1.4.R     10-A13-j25-1.4.R                 Flughafen Wien Bahnhof          RJ 643             1       NaN
70      10-A13-j25-1   TA+17y20      13.TA.10-A13-j25-1.5.R     10-A13-j25-1.5.R              Bratislava hlavná stanica         RJX 167             1     434.0
71      10-A13-j25-1   TA+31y20      14.TA.10-A13-j25-1.5.R     10-A13-j25-1.5.R              Bratislava hlavná stanica         RJX 167             1     435.0
72      10-A13-j25-1   TA+72x20      15.TA.10-A13-j25-1.5.R     10-A13-j25-1.5.R              Bratislava hlavná stanica         RJX 167             1     436.0
73      10-A13-j25-1   TA+41y20      16.TA.10-A13-j25-1.5.R     10-A13-j25-1.5.R              Bratislava hlavná stanica         RJX 167             1     437.0
74      10-A13-j25-1   TA+61y20      17.TA.10-A13-j25-1.5.R     10-A13-j25-1.5.R              Bratislava hlavná stanica         RJX 167             1     438.0
75      10-A13-j25-1   TA+jqw20      18.TA.10-A13-j25-1.6.H     10-A13-j25-1.6.H                      Wels Hauptbahnhof          RJ 820             0       NaN
76      10-A13-j25-1         TA      19.TA.10-A13-j25-1.7.H     10-A13-j25-1.7.H                  Salzburg Hauptbahnhof          RJ 544             0       NaN
77      10-A13-j25-1   TA+8qw20       2.TA.10-A13-j25-1.2.R     10-A13-j25-1.2.R                 Flughafen Wien Bahnhof          RJ 821             1       NaN
78      10-A13-j25-1         TA      20.TA.10-A13-j25-1.7.H     10-A13-j25-1.7.H                  Salzburg Hauptbahnhof          RJ 740             0       NaN
79      10-A13-j25-1         TA      21.TA.10-A13-j25-1.7.H     10-A13-j25-1.7.H                  Salzburg Hauptbahnhof          RJ 546             0       NaN
80      10-A13-j25-1         TA      22.TA.10-A13-j25-1.7.H     10-A13-j25-1.7.H                  Salzburg Hauptbahnhof          RJ 640             0       NaN
81      10-A13-j25-1         TA      23.TA.10-A13-j25-1.7.H     10-A13-j25-1.7.H                  Salzburg Hauptbahnhof          RJ 746             0       NaN
82      10-A13-j25-1         TA      24.TA.10-A13-j25-1.7.H     10-A13-j25-1.7.H                  Salzburg Hauptbahnhof          RJ 742             0       NaN
83      10-A13-j25-1         TA      25.TA.10-A13-j25-1.7.H     10-A13-j25-1.7.H                  Salzburg Hauptbahnhof          RJ 748             0       NaN
84      10-A13-j25-1         TA      26.TA.10-A13-j25-1.7.H     10-A13-j25-1.7.H                  Salzburg Hauptbahnhof          RJ 840             0       NaN
85      10-A13-j25-1         TA      27.TA.10-A13-j25-1.7.H     10-A13-j25-1.7.H                  Salzburg Hauptbahnhof          RJ 644             0       NaN
86      10-A13-j25-1   TA+0vw20      28.TA.10-A13-j25-1.8.H     10-A13-j25-1.8.H                   München Hauptbahnhof          RJ 268             0       NaN
87      10-A13-j25-1   TA+07x20      29.TA.10-A13-j25-1.8.H     10-A13-j25-1.8.H                   München Hauptbahnhof          RJ 268             0       NaN
88      10-A13-j25-1   TA+kow20       3.TA.10-A13-j25-1.3.R     10-A13-j25-1.3.R                 Flughafen Wien Bahnhof          RJ 821             1       NaN
89      10-A13-j25-1   TA+fpw20      30.TA.10-A13-j25-1.9.H     10-A13-j25-1.9.H                              Zürich HB         RJX 160             0     439.0
90      10-A13-j25-1   TA+qww20      31.TA.10-A13-j25-1.9.H     10-A13-j25-1.9.H                              Zürich HB         RJX 160             0     440.0
91      10-A13-j25-1   TA+gqw20      32.TA.10-A13-j25-1.9.H     10-A13-j25-1.9.H                              Zürich HB         RJX 160             0     441.0
92      10-A13-j25-1         TA       4.TA.10-A13-j25-1.4.R     10-A13-j25-1.4.R                 Flughafen Wien Bahnhof          RJ 747             1       NaN
93      10-A13-j25-1         TA       5.TA.10-A13-j25-1.4.R     10-A13-j25-1.4.R                 Flughafen Wien Bahnhof          RJ 743             1       NaN
94      10-A13-j25-1         TA       6.TA.10-A13-j25-1.4.R     10-A13-j25-1.4.R                 Flughafen Wien Bahnhof          RJ 645             1       NaN
95      10-A13-j25-1         TA       7.TA.10-A13-j25-1.4.R     10-A13-j25-1.4.R                 Flughafen Wien Bahnhof          RJ 543             1       NaN
96      10-A13-j25-1         TA       8.TA.10-A13-j25-1.4.R     10-A13-j25-1.4.R                 Flughafen Wien Bahnhof          RJ 649             1       NaN
